,distance,CCSN_z0,CCSN_z25,CCSN_z75,CCSN_z100,CCSN_z150
0,1.0,6.620836099268312e-13,5.109077267459355e-13,3.018327966398935e-13,2.319948830966149e-13,1.3705736027362502e-13
1,1.2689610031679222,1.3514421327037521e-12,1.043975332634915e-12,6.167571515882662e-13,4.740522066342257e-13,2.800593840947609e-13
2,1.6102620275609394,2.7577733040450063e-12,2.133240385139936e-12,1.2602704512866771e-12,9.686697379184908e-13,5.722682995588435e-13
3,2.043359717856942,5.625526510686776e-12,4.359053953038069e-12,2.5752310573371663e-12,1.9793754513910357e-12,1.1693705082499244e-12
4,2.592943797404667,1.1470160019585922e-11,8.907366910330271e-12,5.262272078691013e-12,4.0446903362029986e-12,2.3895121013223447e-12
5,3.2903445623126686,2.3373545839008572e-11,1.8201782789313357e-11,1.075320398484077e-11,8.26513330939817e-12,4.882854908588511e-12
6,4.1753189365604015,4.759504500705019e-11,3.7195514438700233e-11,2.1974273548372693e-11,1.6889877706265017e-11,9.978159961403082e-12
7,5.298316906283709,9.682702541014486e-11,7.601278168283082e-11,4.490664218729987e-11,3.45161669655589e-11,2.0391375309312705e-11
8,6.7233575364993365,1.9675369717339673e-10,1.5535095992818332e-10,9.1777853888542e-11,7.054234238545408e-11,4.1674829659248045e-11
9,8.531678524172808,3.9921517771338247e-10,3.1753498849102377e-10,1.8759253107738323e-10,1.4418747002175004e-10,8.518271507515784e-11
10,10.826367338740546,8.085024671056281e-10,6.491577710834791e-10,3.8350781413036257e-10,2.947719780496918e-10,1.7414465635994535e-10
11,13.73823795883263,1.633563827450939e-09,1.3275148069834272e-09,7.842658973367425e-10,6.028028670004757e-10,3.5612237913907586e-10
12,17.43328822199988,3.2908652511464673e-09,2.7160541747707556e-09,1.6045837329921285e-09,1.233315993816152e-09,7.286153566813331e-10
13,22.122162910704493,6.605104037466458e-09,5.561286665497188e-09,3.2854831103344987e-09,2.525289758380127e-09,1.4918844053360534e-09
14,28.072162039411772,1.3196128729659573e-08,1.1398542824866897e-08,6.735647724140176e-09,5.17715710067852e-09,3.058548001014965e-09
15,35.62247890262442,2.6213509965169352e-08,2.328254675440317e-08,1.3836701250643836e-08,1.0635172601590067e-08,6.283020829477874e-09
16,45.20353656360243,5.170478311290321e-08,4.7108515533204556e-08,2.851590489762908e-08,2.191790983871255e-08,1.2948608284425946e-08
17,57.36152510448679,1.0110445154170147e-07,9.411012445769551e-08,5.907270559769707e-08,4.540449408381864e-08,2.6823954134781564e-08
18,72.7895384398315,1.9563264109913158e-07,1.853015248690634e-07,1.2338786190253935e-07,9.483844339080492e-08,5.602841980868242e-08
19,92.36708571873861,3.7380365441821277e-07,3.589774981564425e-07,2.5952066284475967e-07,2.0071046583032723e-07,1.1857523001719883e-07
20,117.21022975334806,7.037411501948304e-07,6.832386597957782e-07,5.358120073209631e-07,4.3164459948802303e-07,2.5619665131189215e-07
21,148.73521072935117,1.302533299945517e-06,1.2752722057745462e-06,1.0701367405998467e-06,9.116220171321336e-07,5.717235654196153e-07
22,188.73918221350976,2.365503816017725e-06,2.3305394003495482e-06,2.0616757923278843e-06,1.8429534629822981e-06,1.3038811485967505e-06
23,239.5026619987486,4.209566310949192e-06,4.16715971786094e-06,3.833835271344726e-06,3.5541591774234053e-06,2.816307792026059e-06
24,303.9195382313198,7.338329720972979e-06,7.289187971328905e-06,6.897737612564567e-06,6.566020626765516e-06,5.650613242599164e-06
25,385.6620421163472,1.2544967729940965e-05,1.249044714590089e-05,1.205458690247014e-05,1.1679650278916485e-05,1.0633552759578543e-05
26,489.3900918477494,2.1084256708247036e-05,2.1026674907146674e-05,2.0560266592381898e-05,2.015739875960897e-05,1.9026127506229683e-05
27,621.0169418915616,3.496716259472402e-05,3.4906649177963516e-05,3.442286083903206e-05,3.401077453990568e-05,3.283325347013659e-05
28,788.0462815669912,5.745987743193208e-05,5.7395785129500126e-05,5.689849662964934e-05,5.647373682697524e-05,5.527661713140443e-05
29,1000.0,9.39183167255577e-05,9.385180844824215e-05,9.335138002230611e-05,9.289368474259591e-05,9.168428264602902e-05
