,distance,lgrb_l,lgrb,lgrb_u,ccsn_l,ccsn,ccsn_u,sgrb_l,sgrb,sgrb_u,sn_l,sn,sn_u
0,1.0,2.0523190570333263e-19,1.5747353770947535e-18,8.970828582629948e-18,7.7446002152201e-14,4.1304534481173865e-13,1.3553050376635174e-12,2.750984593972841e-19,5.720590480181934e-18,1.8400625429884565e-16,1.0931064611812613e-14,2.5323633017365885e-14,5.101163485512553e-14
1,1.1097141176463292,2.8046542212421175e-19,2.1519988364247697e-18,1.2259337633731269e-17,1.0583600834875915e-13,5.644587111933822e-13,1.8521301461032852e-12,3.7594257222560546e-19,7.817613753565571e-18,2.5145827678666327e-16,1.4938115452673065e-14,3.460663413202593e-14,6.971120544580764e-14
2,1.231465422903571,3.8327812367781737e-19,2.9408761691002337e-18,1.6753351946923464e-17,1.4463325421804428e-13,7.713773558295695e-13,2.5310819488157747e-12,5.137535818978579e-19,1.0683352630193868e-17,3.436365017992295e-16,2.0414049611835417e-14,4.729254826741871e-14,9.526556485523194e-14
3,1.3665745651894,5.2378017384828845e-19,4.018942214433409e-18,2.2894793762550975e-17,1.9765289579180696e-13,1.0541487775563037e-12,3.458925676356622e-12,7.020826194017381e-19,1.4599598840539456e-17,4.696049308581163e-16,2.7897322625234628e-14,6.462879741512689e-14,1.3018750558442826e-13
4,1.516507087807071,7.157880941420781e-19,5.4922105336687755e-18,3.1287592794260643e-17,2.701087147705955e-13,1.4405798121098426e-12,4.726902508485421e-12,9.594483203528762e-19,1.9951441893430674e-17,6.417502010307319e-16,3.8123774318657335e-14,8.832007717155616e-14,1.779109468204009e-13
5,1.682889324850228,9.781835772164216e-19,7.505559523295814e-18,4.2757080890906484e-17,3.691258781948761e-13,1.9686713503726726e-12,6.459702868410332e-12,1.31115778903865e-18,2.7265135480671267e-17,8.769995807477064e-16,5.209898499491325e-14,1.2069598190488234e-13,2.4312859664292847e-13
6,1.8675260422225974,1.3367705132477919e-18,1.0256981296618278e-17,5.843116394385003e-17,5.044417031123744e-13,2.690355749932663e-12,8.82772980446655e-12,1.7917950837462603e-18,3.7259844787836147e-17,1.198485453366704e-15,7.119715564554678e-14,1.649400772455167e-13,3.3225339301255163e-13
7,2.072420014126591,1.8268129348521556e-18,1.4017055223393897e-17,7.985125721523573e-17,6.893633716423229e-13,3.6766046487590556e-12,1.206385900374065e-11,2.448621921189423e-18,5.0918363129369466e-17,1.6378199605306739e-15,9.729623527904993e-14,2.2540294506313232e-13,4.5404909796889966e-13
8,2.2997937473690833,2.4965036108506396e-18,1.915556229709296e-17,1.0912389997114432e-16,9.420768342832603e-13,5.024409782844055e-12,1.6486344599957054e-11,3.3462249988603538e-18,6.958375163193054e-17,2.238203476058912e-15,1.32962582736173e-13,3.0802998333880077e-13,6.204920527688074e-13
9,2.5521135891302267,3.4117046478634512e-18,2.6177859562222708e-17,1.4912797045692445e-16,1.2874357161748872e-12,6.866323819599399e-12,2.2530125033060525e-11,4.572866917950359e-18,9.50914047838684e-17,3.0586725742581875e-15,1.8170332124306064e-13,4.209460275464238e-13,8.479488324676163e-13
