,distance,lgrb_al,ccsn_al,sn_al,lgrb_fe,ccsn_fe,sn_fe
0,1.0,2.829104162691351e-19,7.420601082469116e-14,1.6116617975987612e-14,7.925305494401975e-19,2.0787686542693705e-13,4.5148256709912886e-14
1,1.1097141176463292,3.866181931188469e-19,1.0140805065412377e-13,2.2024561001442504e-14,1.0830523707671072e-18,2.8407931036514286e-13,6.169847521992946e-14
2,1.231465422903571,5.283426127469506e-19,1.3858166891723294e-13,3.0098206217961524e-14,1.4800722934746512e-18,3.8821568353433476e-13,8.431559376761333e-14
3,1.3665745651894,7.220196159871607e-19,1.8938219435728805e-13,4.1131445336973493e-14,2.0226299432358275e-18,5.30525886750381e-13,1.1522359102859837e-13
4,1.516507087807071,9.866937095890473e-19,2.5880490743319273e-13,5.620919083314654e-14,2.764075968623756e-18,7.25003532753772e-13,1.5746170476995986e-13
5,1.682889324850228,1.3483906395959534e-18,3.536762333366435e-13,7.681405692780225e-14,3.7773181589500725e-18,9.907719761180517e-13,2.1518328856313934e-13
6,1.8675260422225974,1.8426765412340146e-18,4.833249944220365e-13,1.0497214722603606e-13,5.1619906970169464e-18,1.3539647729880515e-12,2.9406422413334244e-13
7,2.072420014126591,2.518155211562499e-18,6.604997276229505e-13,1.4345228459310955e-13,7.0542515475003e-18,1.850295487868931e-12,4.0186105127153343e-13
8,2.2997937473690833,3.4412473992213185e-18,9.026222686482146e-13,1.960382739720341e-13,9.640171436389062e-18,2.5285695570856555e-12,5.491737006795408e-13
9,2.5521135891302267,4.702722070161996e-18,1.2335008708621627e-12,2.6790097039037595e-13,1.3174031087765926e-17,3.4554835640041772e-12,7.504878365571572e-13
10,2.8321164796948564,6.426621885972348e-18,1.6856713143534027e-12,3.661067385861296e-13,1.8003326095461084e-17,4.722183893891432e-12,1.0255993144545452e-12
11,3.1428396403362053,8.782460563638368e-18,2.303596213413342e-12,5.003123026007102e-13,2.4602938505495033e-17,6.453229771933123e-12,1.401560841091725e-12
12,3.4876535183795982,1.2001891524448765e-17,3.148037121166889e-12,6.837143122534336e-13,3.3621835775326204e-17,8.818842170577365e-12,1.9153422839222713e-12
13,3.8702983468047316,1.6401486925210173e-17,4.302029357432176e-12,9.343470010673007e-13,4.594688997214983e-17,1.2051643271383562e-11,2.6174662730036174e-12
14,4.29492471495246,2.241386703686053e-17,5.879047091635548e-12,1.2768555402145955e-12,6.279009413913784e-17,1.6469532888954186e-11,3.5769766743197373e-12
15,4.766138590410881,3.063024108691042e-17,8.034161596566668e-12,1.744919471754323e-12,8.5807754461745e-17,2.25069519899659e-11,4.8882286353207184e-12
16,5.2890512804379295,4.185854287202603e-17,1.097928993364617e-11,2.3845645324637774e-12,1.1726338282118574e-16,3.07576086088356e-11,6.6801681197314814e-12
17,5.869334874857365,5.720287804587292e-17,1.5004033585802733e-11,3.258688544416531e-12,1.6025031435561136e-16,4.203286933917675e-11,9.129013809602448e-12
18,6.513283771823168,7.817209583624284e-17,2.0504156284916154e-11,4.453246443130227e-12,2.189959523986479e-16,5.7441561284891246e-11,1.2475589091562317e-11
19,7.227882953828904,1.0682816220008854e-16,2.802050156067896e-11,6.085702682709962e-12,2.9927757795880613e-16,7.849903684165408e-11,1.7049009564046742e-11
20,8.020883754559184,1.45988925845877e-16,3.82921772710497e-11,8.316582251056106e-12,4.0899064510654927e-16,1.0727623478204571e-10,2.329905724172555e-11
21,8.90088793843442,1.9950521824268341e-16,5.232923757185138e-11,1.1365256285136471e-11,5.58925501198898e-16,1.4660341015053062e-10,3.1840428142068365e-11
22,9.877441004868608,2.7263954006151726e-16,7.151201050793894e-11,1.5531514782192988e-11,7.638290049868636e-16,2.0034859147196422e-10,4.3513209710317225e-11
23,10.961135729321438,3.725835789355981e-16,9.772684037655031e-11,2.122504814428202e-11,1.0438555963990057e-15,2.737981892194113e-10,5.946554422109089e-11
24,12.163727064265592,5.091654604730273e-16,1.335515961896465e-10,2.9005737297438845e-11,1.4265507787957395e-15,3.741772534546202e-10,8.126662223467531e-11
25,13.498259646412265,6.958163005723677e-16,1.8250919359275216e-10,3.9638715483425856e-11,1.949562515333537e-15,5.113606597596163e-10,1.1106114329154165e-10
26,14.979209293279437,9.508911403510772e-16,2.494140696002825e-10,5.4169618241311356e-11,2.664347934324402e-15,6.98845359822794e-10,1.5178047658651304e-10
27,16.622640023931293,1.2994742185410414e-15,3.4084569666650265e-10,7.402742474475603e-11,3.641241141269285e-15,9.550796436116157e-10,2.0743136009689778e-10
28,18.44637830710947,1.7758462065856187e-15,4.657957263175392e-10,1.0116500930959055e-10,4.976382671455178e-15,1.3052807007095548e-09,2.834906521853564e-10
29,20.470206426844374,2.426856198817674e-15,6.36552445591521e-10,1.3825123427690844e-10,6.801195684262222e-15,1.7839201794786156e-09,3.874451639805118e-10
30,22.71607706300382,3.3165303429139025e-15,8.699095981413515e-10,1.8893349084632475e-10,9.295346966377695e-15,2.438123794459723e-09,5.29530011609221e-10
31,25.2083514143573,4.532370810158355e-15,1.1888185731562897e-09,2.581965338573817e-10,1.2704477756079927e-14,3.33232203438162e-09,7.237386918422581e-10
32,27.974063447102104,6.1939653783815785e-15,1.6246466566246763e-09,3.528529457356718e-10,1.7364465628716644e-14,4.554613935401087e-09,9.892052140949234e-10
33,31.043213135183343,8.464755711978567e-15,2.2202637933058534e-09,4.822135426086151e-10,2.3734633024840393e-14,6.225477514712234e-09,1.3520958977265632e-09
34,34.449091873216915,1.1568124042199455e-14,3.0342620438555945e-09,6.590037876498869e-10,3.244321817335276e-14,8.50969657005974e-09,1.8481997238098496e-09
35,38.22864359180424,1.5809384301706863e-14,4.146723751267373e-09,9.006165647283827e-10,4.434966436439513e-14,1.1632698849677411e-08,2.5264767814143125e-09
36,42.42286549229504,2.1605847250017207e-14,5.667107475414349e-09,1.2308249048165538e-09,6.06299953005202e-14,1.590294958702169e-08,3.453921863431273e-09
37,47.077252747811094,2.952787280155747e-14,7.74501581680196e-09,1.6821206227116753e-09,8.289345971340847e-14,2.174254681007435e-08,4.722209385313023e-09
38,52.24229199425044,4.0352051672421946e-14,1.0584144700963133e-08,2.2987439272404306e-09,1.1331839544525472e-13,2.9722857821706157e-08,6.4554331831518055e-09
39,57.97400896422151,5.5132722160861824e-14,1.446104187825884e-08,3.1407575329343415e-09,1.5482908175725494e-13,4.061090669042752e-08,8.820181296827227e-09
40,64.33457620415145,7.530310890691587e-14,1.9751635123125473e-08,4.289808253303813e-09,2.1136654325950806e-13,5.544040478937916e-08,1.2040962915193284e-08
41,71.39298746654045,1.0281193778630978e-13,2.696706564886814e-08,5.8569095706135485e-09,2.882474442298031e-13,7.56058870110959e-08,1.642065358522239e-08
